형태소,품사,개수
버터,NNG,3
프레첼,NNP,3
빵,NNG,3
샌드,NNG,2
맛,NNG,2
aop,SL,1
인증,NNG,1
먹다,VV,1
중독,NNG,1
파네트,NNP,1
대표,NNG,1
마약,NNG,1
헤이호미,NNP,1
몬스터,NNP,1
향긋,XR,1
시나몬,NNG,1
달달하다,VA,1
특징,NNG,1
짭조롬,NNG,1
펄,NNP,1
솔트,NNP,1
뿌리다,VV,1
독일,NNP,1
전통,NNG,1
스타일,NNG,1
프랑스,NNP,1
고급,NNG,1
달콤,XR,1
팥,NNG,1
앙금,NNG,1
풍미,NNG,1
시간,NNG,1
시그니처,NNG,1
우유,NNG,1
반죽,NNG,1
하다,VV,1
고소하다,VA,1
나다,VV,1
뉴질랜드,NNP,1
앵커,NNG,1
베스트,NNG,1
인기,NNG,1
메뉴,NNG,1
