형태소,품사,개수
담다,VV,2
취향,NNG,1
고르다,VV,1
크로플,NNP,1
단짠,NNP,1
매력,NNG,1
더하다,VV,1
크로플,NNG,1
집,NNG,1
만나다,VV,1
시그니처,NNG,1
메뉴,NNG,1
완벽,NNG,1
조합,NNG,1
즐기다,VV,1
달콤하다,VA,1
디저트,NNG,1
