형태소,품사,개수
필링,NNG,2
달달하다,VA,2
풍미,NNG,2
달콤,XR,1
초콜릿,NNG,1
품다,VV,1
상큼,XR,1
채우다,VV,1
매력,NNG,1
담백,XR,1
크로와,NNG,1
짭짤,XR,1
매콤하다,VA,1
조합,NNG,1
