형태소,품사,개수
겉,NNG,4
속,NNG,4
촉촉하다,VA,3
촉촉,XR,2
첫인상,NNG,1
마무리,NNG,1
검다,VA,1
그을리다,VV,1
식감,NNG,1
캐러멜,NNG,1
디저트,NNG,1
바닐라,NNP,1
특유,NNG,1
향,NNG,1
