형태소,품사,개수
바게트,NNG,3
부서지다,VV,1
입,NNG,1
롤,NNG,1
치즈,NNG,1
박히다,VV,1
프랑스,NNP,1
현지,NNG,1
맛,NNG,1
재현,NNG,1
빵,NNG,1
식감,NNG,1
집,NNG,1
즐기다,VV,1
매력,NNG,1
알싸하다,VA,1
마늘,NNG,1
풍미,NNG,1
치아바타,NNP,1
레시피,NNG,1
만드다,VV,1
고소,XR,1
여운,NNG,1
갈릭,NNG,1
크림,NNG,1
채우다,VV,1
볼,NNG,1
