형태소,품사,개수
섬세,XR,2
식감,NNG,2
파리,NNP,1
감성,NNG,1
만들다,VV,1
풍미,NNG,1
촉촉,XR,1
스콘,NNP,1
포슬포슬,NNG,1
담백,XR,1
고소,NNG,1
몽실몽실,NNG,1
홈,NNG,1
카페,NNG,1
기본,NNG,1
메뉴,NNG,1
부담,NNG,1
즐기다,VV,1
든든하다,VA,1
간식,NNG,1
매력,NNG,1
담백하다,VA,1
소박,XR,1
오후,NNG,1
위하다,VV,1
