형태소,품사,개수
식감,NNG,2
촉촉하다,VA,2
포르투갈,NNP,1
오다,VV,1
정통,NNG,1
타르트,NNP,1
간편,XR,1
즐기다,VV,1
카페,NNG,1
디저트,NNG,1
gx,SL,1
개입,NNG,1
달콤,XR,1
필링,NNG,1
겉,NNG,1
바닐라빈,NNG,1
달달하다,VA,1
