형태소,품사,개수
풍미,NNG,2
촉촉,XR,1
구움과,NNG,1
티,NNG,1
푸드,NNG,1
세트,NNG,1
차,NNG,1
어울리다,VV,1
구움과자,NNG,1
아담하다,VA,1
사이즈,NNG,1
담기다,VV,1
버터,NNG,1
프랑스,NNP,1
전통,NNG,1
마들렌,NNP,1
현대,NNG,1
감각,NNG,1
