형태소,품사,개수
채우다,VV,2
붙다,VV,1
고소하다,VA,1
아몬드,NNG,1
벌집,NNG,1
모양,NNG,1
파이,NNG,1
속,NNG,1
딸기,NNG,1
잼,NNG,1
완벽,NNG,1
조합,NNG,1
초콜릿,NNG,1
크림,NNG,1
겹겹,NNG,1
층,NNG,1
밀도,NNG,1
있다,VV,1
밀푀유,NNP,1
페이스트리,NNP,1
