형태소,품사,개수
매력,NNG,3
폭신,XR,2
만들다,VV,2
식감,NNG,2
하겔슈가,NNG,1
박히다,VV,1
디저트,NNG,1
딸기카스테라,NNG,1
브라운슈가카스테라,NNG,1
신규,NNG,1
입점,NNG,1
다채,XR,1
즐기다,VV,1
카스테라,NNP,1
유기농,NNG,1
우유,NNG,1
쌀,NNG,1
카스테,NNG,1
녹아들다,VV,1
달콤,XR,1
항생제,NNG,1
달걀,NNG,1
완성,NNG,1
고소,NNG,1
함,NNG,1
알,NNG,1
롤,NNG,1
달,NNG,1
록,NNG,1
색감,NNG,1
감성,NNG,1
스푼,NNG,1
스미다,VV,1
녹차,NNG,1
쌉쌀,XR,1
섬세,XR,1
맛,NNG,1
달콤하다,VA,1
크림,NNG,1
머금다,VV,1
손,NNG,1
가다,VV,1
포슬함,NNG,1
좋다,VA,1
재료,NNG,1
촉촉하다,VA,1
카스테라,NNG,1
