형태소,품사,개수
소금,NNG,4
빵,NNG,2
풍미,NNG,2
버터,NNG,2
마성,NNG,2
고소하다,VA,1
짭조름,NNG,1
게랑드,NNG,1
완성,NNG,1
겉,NNG,1
속,NNG,1
촉촉,XR,1
프랑스,NNP,1
깊다,VA,1
향,NNG,1
짭짤,XR,1
맛,NNG,1
만나다,VV,1
손,NNG,1
가다,VV,1
뉴질랜드,NNP,1
살다,VV,1
진하다,VA,1
먹다,VV,1
중독,NNG,1
마약,NNG,1
