형태소,품사,개수
케이크,NNG,3
번지다,VV,2
풍미,NNG,2
향긋,XR,2
식감,NNG,2
달콤,XR,1
글루텐프리,NNG,1
단호박,NNG,1
단백질,NNG,1
함유,NNG,1
파운드,NNG,1
박히다,VV,1
호두,NNG,1
고소,NNG,1
함,NNG,1
견과,NNG,1
과일,NNG,1
특별,NNG,1
조화,NNG,1
짙다,VA,1
달콤하다,VA,1
진득,XR,1
초콜릿,NNG,1
은은하다,VA,1
쑥,NNG,1
향,NNG,1
얼,NNG,1
그레이,NNG,1
단맛,NNG,1
구성,NNG,1
병아리콩,NNP,1
만드다,VV,1
꾸덕,NNG,1
묵직,XR,1
밀가루,NNG,1
즐기다,VV,1
비,NNG,1
빵,NNG,1
