형태소,품사,개수
휘낭시,NNG,2
풍미,NNG,2
버터,NNG,2
피다,VV,1
장미,NNG,1
모양,NNG,1
고소하다,VA,1
묵직,XR,1
들어차다,VV,1
진하다,VA,1
향,NNG,1
프랑스,NNP,1
구움과,NNG,1
아몬드,NNG,1
가루,NNG,1
헤이즐넛,NNG,1
사용,NNG,1
쫀득하다,VA,1
