형태소,품사,개수
즐기다,VV,2
있다,VA,2
팬케이크,NNG,2
풍미,NNG,2
식감,NNG,2
녹아내리다,VV,1
달콤,XR,1
우아하다,VA,1
달달하다,VA,1
클래식,NNG,1
진하다,VA,1
초콜릿,NNG,1
초코,NNP,1
촉촉,XR,1
폭신,XR,1
고소,XR,1
