형태소,품사,개수
베이글,NNG,8
식감,NNG,3
든든,XR,2
쫄깃하다,VA,2
살다,VV,2
뉴욕,NNP,2
기본,NNG,1
지키다,VV,1
하루,NNG,1
위하다,VV,1
식사,NNG,1
즐기다,VV,1
담백,XR,1
풍미,NNG,1
맛보다,VV,1
맛,NNG,1
입,NNG,1
풍성,XR,1
재료,NNG,1
넣다,VV,1
색다르다,VA,1
구비,NNG,1
미국식,NNG,1
아침,NNG,1
열다,VV,1
먹다,VV,1
비,NNG,1
