형태소,품사,개수
녹아내리다,VV,1
달콤,XR,1
녹다,VV,1
행복,NNG,1
조각,NNG,1
녹진,NNP,1
하다,VV,1
크림치즈,NNG,1
맛,NNG,1
담다,VV,1
과일,NNG,1
아이스크림,NNG,1
즐기다,VV,1
퐁실퐁실,NNG,1
구름,NNG,1
같다,VA,1
식감,NNG,1
